"";"MasterRow";"Artist.ID";"Artist.Name";"Artist.Genre";"Artist.Popularity";"Artist.Followers"
"1";"";"";"";"";"";""
"2";"2";"5INjqkS1o8h1imAzPqGZBb";"Tame Impala";"australian psych";"81";"2430677"
"3";"3";"5INjqkS1o8h1imAzPqGZBb";"Tame Impala";"neo-psychedelic";"81";"2430677"
"4";"4";"5INjqkS1o8h1imAzPqGZBb";"Tame Impala";"psychedelic rock";"81";"2430677"
"5";"5";"4evVEvE5p9WsdXQKBPmAxT";"Mellow Fellow";"indie garage rock";"55";"50782"
"6";"6";"4evVEvE5p9WsdXQKBPmAxT";"Mellow Fellow";"indie psych-rock";"55";"50782"
"7";"7";"7tr9pbgNEKtG0GQTKe08Tz";"Mk.Gee";"alternative r&b";"49";"11751"
"8";"8";"7tr9pbgNEKtG0GQTKe08Tz";"Mk.Gee";"indie psych-rock";"49";"11751"
"9";"9";"7tr9pbgNEKtG0GQTKe08Tz";"Mk.Gee";"vapor soul";"49";"11751"
"10";"10";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"brill building pop";"57";"104002"
"11";"11";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"bubblegum pop";"57";"104002"
"12";"12";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"classic garage rock";"57";"104002"
"13";"13";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"folk rock";"57";"104002"
"14";"14";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"mellow gold";"57";"104002"
"15";"15";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"merseybeat";"57";"104002"
"16";"16";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"rock";"57";"104002"
"17";"17";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"rock-and-roll";"57";"104002"
"18";"18";"01hRNr3yF5bYnPq4wZ88iI";"Tommy James & The Shondells";"soft rock";"57";"104002"
"19";"19";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"emo";"67";"911406"
"20";"20";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"neon pop punk";"67";"911406"
"21";"21";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"pop emo";"67";"911406"
"22";"22";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"pop punk";"67";"911406"
"23";"23";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"pop rock";"67";"911406"
"24";"24";"3WfJ1OtrWI7RViX9DMyEGy";"Mayday Parade";"screamo";"67";"911406"
"25";"25";"1cIpVfuKuPdekPuNqj3icx";"Vic Fuentes";NA;"46";"3813"
"26";"26";"1cIpVfuKuPdekPuNqj3icx";"Vic Fuentes";NA;"46";"3813"
"27";"27";"6yJCxee7QumYr820xdIsjo";"Zac Brown Band";"contemporary country";"77";"1481205"
"28";"28";"6yJCxee7QumYr820xdIsjo";"Zac Brown Band";"country";"77";"1481205"
"29";"29";"6yJCxee7QumYr820xdIsjo";"Zac Brown Band";"country road";"77";"1481205"
"30";"30";"6yJCxee7QumYr820xdIsjo";"Zac Brown Band";"modern country rock";"77";"1481205"
"31";"31";"6vXJ4kIg2HlqsSfX3S1RHV";"Mtbrd";"chillhop";"46";"8659"
"32";"32";"0n94vC3S9c3mb2HyNAOcjg";"The Head and the Heart";"chamber pop";"72";"664889"
"33";"33";"0n94vC3S9c3mb2HyNAOcjg";"The Head and the Heart";"folk-pop";"72";"664889"
