"";"MasterRow";"Playlist.ID";"Playlist.Name";"Added.At";"Added.By";"Album";"Album.ID";"Album.Type";"Album.Release.Date";"Artist";"Artist.ID";"Explicit";"ISRC";"Song.ID";"Song.Title";"Song.Popularity";"Duration..ms.";"Is.Playable";"Our.Names"
"1";"1";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T21:01:07Z";"kirkkovach";"Patience";"65siSh34OjZPMx0obk0YRj";"single";"2019-03-22";"Tame Impala";"5INjqkS1o8h1imAzPqGZBb";"FALSE";"AUUM71900284";"2drEUEg0TYQR6dDEHkpuPE";"Patience";"77";"292267";"TRUE";"Kirk"
"2";"2";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T21:01:28Z";"will100dankos";"Dancing";"6VM71S8PxikYbwHQ9CIjhR";"single";"2017-07-18";"Mellow Fellow";"4evVEvE5p9WsdXQKBPmAxT";"FALSE";"UST8K1773579";"57asCheDC0X1S9QnyTsmOQ";"Dancing";"61";"282671";"TRUE";"Will"
"3";"3";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T21:02:32Z";"laurakay3";"Pronounced Mcgee";"03HsVVsJiYkq3pbGJYOAPr";"album";"2018-05-18";"Mk.Gee";"7tr9pbgNEKtG0GQTKe08Tz";"FALSE";"QM24S1809448";"75ZoDBdTAO9e896PtMsbnG";"You";"55";"310597";"TRUE";""
"4";"4";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T22:47:50Z";"1230145895";"Tommy James And The Shondells: Anthology";"5IL9KRDDd1L4m6f9SKS0yN";"compilation";"1989";"Tommy James & The Shondells";"01hRNr3yF5bYnPq4wZ88iI";"FALSE";"USRH10553003";"6FXwTBdpv4wD0G0Sz3Wxn4";"Crystal Blue Persuasion";"47";"246600";"TRUE";"Alec"
"5";"5";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T22:18:05Z";"aspives";"Punk Goes Pop, Vol. 5";"0KNLlzaknXah9u9MlWjjOi";"album";"2012-11-06";"Mayday Parade";"3WfJ1OtrWI7RViX9DMyEGy";"FALSE";"US5261217003";"1wSTaIg1XHXAmyMhpZXnpW";"Somebody That I Used To Know";"47";"205320";"TRUE";"Austin"
"6";"6";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-30T22:18:05Z";"aspives";"Punk Goes Pop, Vol. 5";"0KNLlzaknXah9u9MlWjjOi";"album";"2012-11-06";"Vic Fuentes";"1cIpVfuKuPdekPuNqj3icx";"FALSE";"US5261217003";"1wSTaIg1XHXAmyMhpZXnpW";"Somebody That I Used To Know";"47";"205320";"TRUE";"Austin"
"7";"7";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-31T01:07:54Z";"hannahbultman";"Someone I Used To Know";"0eznD0XpmDh5Js0tqEMHPc";"single";"2018-11-09";"Zac Brown Band";"6yJCxee7QumYr820xdIsjo";"FALSE";"QM24S1842075";"5MWj28tW4Kt3ISnIXdTQux";"Someone I Used To Know";"73";"209264";"TRUE";""
"8";"8";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-31T14:11:49Z";"laurakay3";"Chillhop Essentials Summer 2017";"4dUYpuk18NdNVXQLUVmGAG";"compilation";"2017-06-12";"Mtbrd";"6vXJ4kIg2HlqsSfX3S1RHV";"FALSE";"TCADC1749075";"0pg02fsqzD7h2sQVYGXwTK";"Damn Fine Coffee";"47";"192000";"TRUE";""
"9";"9";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-03-31T18:34:08Z";"will100dankos";"The Head and the Heart";"4sRUr5XaJYlc17t4jUrqYB";"album";"2011-01-11";"The Head and the Heart";"0n94vC3S9c3mb2HyNAOcjg";"FALSE";"USSUB1191505";"20svOpmCQao5GUBgSu8zDe";"Rivers and Roads";"68";"284000";"TRUE";"Will"
"10";"10";"1zKcRqSM7FlB0pmwbCXFLg";"the daily (kings & queens)";"2019-04-01T00:21:14Z";"226bwnfkfjifh4ygt575s5epi";"Fast Talk";"3SMoItGjCanLw0iCHTeffs";"single";"2018-08-24";"Houses";"648kpaANsUr1HABoE4mkPw";"FALSE";"GBKPL1803602";"2NSHs7fnTlqosMNy72P7Mb";"Fast Talk";"59";"259946";"TRUE";""
