"";"MasterRow";"user";"Added.At";"Album";"Album.ID";"Album.Type";"Album.Release.Date";"Artist";"Artist.ID";"Explicit";"ISRC";"Song.ID";"Song.Title";"Song.Popularity";"Duration..ms.";"Is.Playable"
"1";"1";"aspives";"2019-05-10T20:24:39Z";"Feed Tha Streets II";"1jlIU9p7PChTK3AeqNpnsX";"album";"2018-11-02";"Roddy Ricch";"757aE44tKEUQEqRuT6GnEB";"TRUE";"USAT21811793";"3uIdxn5bUjOLOKN4QELnhb";"Day One (Outro)";"56";"161526";"TRUE"
"2";"2";"aspives";"2019-05-10T20:23:58Z";"Feed Tha Streets II";"1jlIU9p7PChTK3AeqNpnsX";"album";"2018-11-02";"Roddy Ricch";"757aE44tKEUQEqRuT6GnEB";"TRUE";"USAT21811786";"4F60iJFwx0G7x3SNjYWiZP";"Nascar";"61";"179059";"TRUE"
"3";"3";"aspives";"2019-05-10T14:19:27Z";"4THEHOMIES";"6BQKvohjflUQTDQJfwge9d";"album";"2018-11-12";"Mike Stud";"5G9kmDLg3OeUyj8KVBLzbu";"TRUE";"TCADI1743754";"1tLoAxJ8xEir2YQvY3Uzht";"Lost Me";"61";"171572";"TRUE"
"4";"4";"aspives";"2019-05-10T14:19:27Z";"4THEHOMIES";"6BQKvohjflUQTDQJfwge9d";"album";"2018-11-12";"Vory";"0GeeIVcvGA8GSlWsoY1dkG";"TRUE";"TCADI1743754";"1tLoAxJ8xEir2YQvY3Uzht";"Lost Me";"61";"171572";"TRUE"
"5";"5";"aspives";"2019-05-10T14:19:08Z";"4THEHOMIES";"6BQKvohjflUQTDQJfwge9d";"album";"2018-11-12";"Mike Stud";"5G9kmDLg3OeUyj8KVBLzbu";"TRUE";"TCADX1852012";"4s5kD9Pdiy8iVmJ7TKRRy2";"Mirrors on the Ceiling";"62";"214804";"TRUE"
"6";"6";"aspives";"2019-05-09T02:54:07Z";"Plant Feed";"1i9xCz51Auu1kcwTcFLGAv";"single";"2017-06-09";"Nilüfer Yanya";"09kXLeOXRyfNQMXRaDO4qA";"FALSE";"UKGUH1700205";"1T21X4tMYC2aYJW7qwH8q9";"Sliding Doors";"48";"245494";"TRUE"
"7";"7";"aspives";"2019-05-09T02:44:49Z";"Prairie Fields";"552sJOAj964KC2zNxays46";"single";"2019-05-08";"Nessly";"6POMCYQE1sq1BJ8FnAvTA8";"TRUE";"QZ5FA1950219";"7opar74zeLgVqZ7jERYzYv";"Prairie Fields";"29";"150768";"TRUE"
"8";"8";"aspives";"2019-05-08T23:26:28Z";"Lonerism";"3C2MFZ2iHotUQOSBzdSvM7";"album";"2012-01-01";"Tame Impala";"5INjqkS1o8h1imAzPqGZBb";"FALSE";"AUUM71200493";"0LtOwyZoSNZKJWHqjzADpW";"Feels Like We Only Go Backwards";"74";"192960";"TRUE"
"9";"9";"aspives";"2019-05-08T19:49:46Z";"Every Season";"3SCrgLoMLyHmU6T7eKmMyG";"single";"2018-10-26";"Roddy Ricch";"757aE44tKEUQEqRuT6GnEB";"TRUE";"USAT21811616";"7uDmtMSHiwHt4SXqxbYqIr";"Every Season";"74";"214829";"TRUE"
"10";"10";"aspives";"2019-05-08T19:36:51Z";"Artificial Selection";"6rBnEJJUih41OU4AemGs4y";"album";"2018-06-08";"Dance Gavin Dance";"6guC9FqvlVboSKTI77NG2k";"TRUE";"QMRSZ1800510";"6SQCXgRnPSXcuCyXJmgr6r";"Bloodsucker";"48";"259892";"TRUE"
"11";"11";"aspives";"2019-05-03T23:48:16Z";"A Moment Apart (Deluxe Edition)";"4MRcN8PhMhBe84tcPLe2QJ";"album";"2018-11-30";"ODESZA";"21mKp7DqtSNHhCAU2ugvUw";"TRUE";"GBCFB1700217";"1KbfyEZmBDhaeHnO2w2ZxR";"Divide (feat. Kelsey Bulkin)";"50";"241849";"TRUE"
"12";"12";"aspives";"2019-05-03T23:48:16Z";"A Moment Apart (Deluxe Edition)";"4MRcN8PhMhBe84tcPLe2QJ";"album";"2018-11-30";"Kelsey Bulkin";"3vDjFm7GgG4ph7WR1KwNvp";"TRUE";"GBCFB1700217";"1KbfyEZmBDhaeHnO2w2ZxR";"Divide (feat. Kelsey Bulkin)";"50";"241849";"TRUE"
"13";"13";"aspives";"2019-05-02T16:01:51Z";"White Bronco";"1RpE0cvRLrWxtaGeUjWqgV";"album";"2018-11-01";"Action Bronson";"7BMccF0hQFBpP6417k1OtQ";"TRUE";"USUYG1222873";"4tTFl6L8eNA7BK4dRJivK1";"Prince Charming";"50";"151049";"TRUE"
"14";"14";"aspives";"2019-05-01T14:40:43Z";"Cura - The Remixes";"2O96RHevp71QtvfzWRx8t1";"album";"2018-09-28";"Keys N Krates";"6c1pBXHYjFcGQQNO5MMsdd";"TRUE";"USDM31805003";"01fT3MRxGRfv00HDbFArJc";"Music To My Ears (feat. Tory Lanez) - Falcons Remix";"45";"172171";"TRUE"
"15";"15";"aspives";"2019-05-01T14:40:43Z";"Cura - The Remixes";"2O96RHevp71QtvfzWRx8t1";"album";"2018-09-28";"Tory Lanez";"2jku7tDXc6XoB6MO2hFuqg";"TRUE";"USDM31805003";"01fT3MRxGRfv00HDbFArJc";"Music To My Ears (feat. Tory Lanez) - Falcons Remix";"45";"172171";"TRUE"
"16";"16";"aspives";"2019-05-01T14:40:43Z";"Cura - The Remixes";"2O96RHevp71QtvfzWRx8t1";"album";"2018-09-28";"Falcons";"7lm68Uw3UZDD1vlAWpLeDL";"TRUE";"USDM31805003";"01fT3MRxGRfv00HDbFArJc";"Music To My Ears (feat. Tory Lanez) - Falcons Remix";"45";"172171";"TRUE"
"17";"17";"aspives";"2019-05-01T14:40:26Z";"Life of a Wallflower Vol. 1";"4oN0HoJVDsVKwJmquYy7d2";"album";"2018-11-09";"Whethan";"0vqJkZ0RpLZixt3lTmD8vP";"FALSE";"USAT21802585";"0lchLc0vSyRRqKSPIkFtJI";"Superlove (feat. Oh Wonder)";"65";"184814";"TRUE"
"18";"18";"aspives";"2019-05-01T14:40:26Z";"Life of a Wallflower Vol. 1";"4oN0HoJVDsVKwJmquYy7d2";"album";"2018-11-09";"Oh Wonder";"5cIc3SBFuBLVxJz58W2tU9";"FALSE";"USAT21802585";"0lchLc0vSyRRqKSPIkFtJI";"Superlove (feat. Oh Wonder)";"65";"184814";"TRUE"
"19";"19";"aspives";"2019-05-01T14:37:16Z";"Speed It Up";"4eksthxT0hhR72A46Qr9OT";"single";"2019-02-11";"Gunna";"2hlmm7s2ICUX0LVIhVFlZQ";"TRUE";"QMCE31901986";"3BXXkwyhsHM0EPApHMhQC5";"Speed It Up";"78";"179021";"TRUE"
"20";"20";"aspives";"2019-05-01T14:32:31Z";"ultraviolet";"4dWsPT1Vygw8beFJ8j1E1k";"single";"2019-04-19";"prettyboyshav";"1HWOzNVECZuzwhpmQ36RvO";"FALSE";"QM24S1914708";"5pmOCIkmaF93i10jfCiT5v";"ultraviolet";"46";"245088";"TRUE"
"21";"21";"aspives";"2019-05-01T14:21:56Z";"How to Be Alone";"6IWyI4Os04Vhfawp3FkaLd";"single";"2019-04-12";"Lulu Simon";"3Z5BbiIldlrLYBVVHKdhYa";"FALSE";"US23A1501267";"0cuCFSC12nbcodICJRDQmu";"How to Be Alone";"35";"184441";"TRUE"
"22";"22";"aspives";"2019-05-01T14:20:22Z";"Hindsight";"0HohoNniglpDithTFEnqaW";"album";"2019-04-19";"Joey Landreth";"1n5S81eeVtaFs2vvo7p234";"FALSE";"CAADO1800010";"0gPL0UolZWwAYTTLzStqmw";"Hindsight";"45";"241213";"TRUE"
"23";"23";"aspives";"2019-05-01T14:14:23Z";"Anthem Of The Peaceful Army";"7zeCZY6rQRufc8IHGKyXGX";"album";"2018-10-19";"Greta Van Fleet";"4NpFxQe2UvRCAjto3JqlSl";"FALSE";"USUM71811327";"0iYBNrznkCwhN3xCmNVJpo";"You're The One";"67";"266933";"TRUE"
"24";"24";"aspives";"2019-05-01T14:13:35Z";"Anthem Of The Peaceful Army";"7zeCZY6rQRufc8IHGKyXGX";"album";"2018-10-19";"Greta Van Fleet";"4NpFxQe2UvRCAjto3JqlSl";"FALSE";"USUM71809403";"2ZMI0QNoqU9fQZFirR9WpK";"When The Curtain Falls";"68";"222960";"TRUE"
"25";"25";"aspives";"2019-05-01T14:13:04Z";"From The Fires";"6uSnHSIBGKUiW1uKQLYZ7w";"album";"2017-11-10";"Greta Van Fleet";"4NpFxQe2UvRCAjto3JqlSl";"FALSE";"USUM71711571";"12YYFvwwuYiw010ONgfYlW";"A Change Is Gonna Come";"60";"197080";"TRUE"
"26";"26";"aspives";"2019-04-30T19:09:37Z";"1080p";"5iP2xd640LASyhsYtPN4be";"single";"2019-02-14";"Teej";"0coM514BLVmZfOZND6FoCk";"TRUE";"QZDA71916864";"7A9OIbfcKmNVEFYbuY0MFX";"Hurricane";"7";"199384";"TRUE"
"27";"27";"aspives";"2019-04-30T19:09:37Z";"1080p";"5iP2xd640LASyhsYtPN4be";"single";"2019-02-14";"Asaiah Ziv";"4djZqw6Kq79JYdJdJwHc23";"TRUE";"QZDA71916864";"7A9OIbfcKmNVEFYbuY0MFX";"Hurricane";"7";"199384";"TRUE"
"28";"28";"aspives";"2019-04-30T19:07:55Z";"Switch Lanes";"61B6qTg11mJLAucNiPSbqF";"single";"2019-01-31";"Asaiah Ziv";"4djZqw6Kq79JYdJdJwHc23";"TRUE";"USUYG1235340";"2tUXAN9unAB9rd5yXhSq1C";"Switch Lanes";"41";"169396";"TRUE"
"29";"29";"aspives";"2019-04-30T19:02:27Z";"Lucky Me";"7kTZ1Vi01RIMLwD8ULuyB3";"single";"2018-08-17";"Vory";"0GeeIVcvGA8GSlWsoY1dkG";"TRUE";"QM24S1704115";"2uP5rgkbOAJii6rLcxTvyH";"Hold Of Me";"41";"168818";"TRUE"
