"";"MasterRow";"Song.ID";"Danceability";"Energy";"Key";"Loudness";"Mode";"Speechiness";"Acousticness";"Instrumentalness";"Liveness";"Valence";"Tempo";"Type";"Time.Signature"
"1";"1";"2drEUEg0TYQR6dDEHkpuPE";"0.546";"0.859";"1";"-5.966";"1";"0.0306";"0.00223";"0.000947";"0.0529";"0.645";"99.965";"audio_features";"4"
"2";"2";"57asCheDC0X1S9QnyTsmOQ";"0.375";"0.474";"8";"-7.856";"0";"0.0308";"0.736";"9.75e-05";"0.287";"0.392";"101.976";"audio_features";"4"
"3";"3";"75ZoDBdTAO9e896PtMsbnG";"0.809";"0.656";"5";"-6.67";"1";"0.297";"0.524";"0.00455";"0.075";"0.786";"88.934";"audio_features";"4"
"4";"4";"6FXwTBdpv4wD0G0Sz3Wxn4";"0.603";"0.313";"9";"-12.921";"1";"0.0363";"0.248";"4.53e-05";"0.184";"0.817";"99.172";"audio_features";"4"
"5";"5";"1wSTaIg1XHXAmyMhpZXnpW";"0.457";"0.938";"3";"-4.557";"1";"0.0836";"0.00391";"9.94e-06";"0.145";"0.467";"136.072";"audio_features";"4"
"6";"6";"1wSTaIg1XHXAmyMhpZXnpW";"0.457";"0.938";"3";"-4.557";"1";"0.0836";"0.00391";"9.94e-06";"0.145";"0.467";"136.072";"audio_features";"4"
"7";"7";"5MWj28tW4Kt3ISnIXdTQux";"0.621";"0.746";"6";"-5.69";"0";"0.03";"0.000927";"0.00108";"0.102";"0.334";"107.953";"audio_features";"4"
"8";"8";"0pg02fsqzD7h2sQVYGXwTK";"0.592";"0.859";"7";"-5.535";"1";"0.378";"0.0793";"7.98e-06";"0.326";"0.176";"90.424";"audio_features";"4"
"9";"9";"20svOpmCQao5GUBgSu8zDe";"0.494";"0.194";"0";"-8.965";"1";"0.0352";"0.699";"2.98e-05";"0.0803";"0.161";"135.753";"audio_features";"3"
"10";"10";"2NSHs7fnTlqosMNy72P7Mb";"0.603";"0.502";"9";"-7.732";"1";"0.0367";"0.543";"0.108";"0.205";"0.347";"69.987";"audio_features";"4"
"11";"11";"5Gu0PDLN4YJeW75PpBSg9p";"0.663";"0.708";"8";"-4.154";"1";"0.0473";"0.0337";"0";"0.0841";"0.742";"103.073";"audio_features";"4"
